Orden;Empresa;Cotiza;Codact;Ventas;Capital;Recprop;Acttot;Benefico;Inmovil;Cashflow;Rentab;Plantill;Cashvent;Ventinmv;Ventact;Ventplan;Inmoactt;Benvent;Benrecpr;Bencap;Filter_$
145;Continental Hispánica;0;4;32065;623;3088;11374;1708;2595;1737;55;59;0,054171215;12,35645472;2,819148936;543,4745763;0,228151925;0,053266802;0,553108808;2,741573034;1
146;Central Lechera Asturiana;0;1;31406;967;5686;12980;202;4508;636;4;810;0,020250907;6,966725821;2,419568567;38,77283951;0,347303544;0,006431892;0,035525853;0,208893485;1
147;Cortefiel;0;4;30973;2002;13602;22073;2557;6603;3202;19;3030;0,103380364;4,69074663;1,403207539;10,22211221;0,29914375;0,082555774;0,187987061;1,277222777;1
148;Merco;0;4;30726;26782;-4543;13263;-5817;8731;-5209;128;344;-0,169530691;3,519184515;2,316670437;89,31976744;0,658297519;-0,189318492;1,280431433;-0,217198118;0
149;Lever España;0;15;30611;2090;1939;10917;-669;3893;-97;-35;697;-0,003168796;7,863087593;2,803975451;43,91822095;0,356599798;-0,021854889;-0,345023208;-0,320095694;0
150;Retevisión;0;16;29902;19342;32929;85087;2660;51574;7310;8;1317;0,244465253;0,579788265;0,351428538;22,70463174;0,606132547;0,08895726;0,08077986;0,137524558;1
151;Acenor;0;11;29846;7713;-8187;81486;-16310;64243;-13217;199;2317;-0,442839912;0,464579799;0,366271507;12,88131204;0,788393098;-0,546471889;1,992182729;-2,114611695;0
152;Cetesa;0;18;29755;434;4816;18351;2527;7196;3249;52;1208;0,109191732;4,134936076;1,621437524;24,63162252;0,392131219;0,084926903;0,524709302;5,822580645;1
153;Gruma;0;4;29381;811;2330;9091;362;2573;467;16;290;0,015894626;11,41896619;3,231877681;101,3137931;0,28302717;0,012320888;0,155364807;0,446362515;1
154;Bimbo;0;1;29254;2300;14698;21181;1175;11933;2256;8;2710;0,077117659;2,451520992;1,381143478;10,79483395;0,563382277;0,040165447;0,079942849;0,510869565;1
155;Canal Isabel II;0;16;29071;52387;203905;265557;9;246666;5381;0;1958;0,185098552;0,117855724;0,109471789;14,84729316;0,92886273;0,000309587;4,41382E-05;0,000171798;1
156;SE Metales Preciosos;0;11;28920;132;4158;8303;215;1052;400;5;239;0,013831259;27,4904943;3,483078405;121,0041841;0,126701192;0,007434302;0,051707552;1,628787879;1
157;Agfa Gevaert;0;15;28756;3190;11901;27163;325;4288;1063;3;783;0,036966198;6,706156716;1,058645952;36,72541507;0,157861797;0,011301989;0,02730863;0,101880878;1
158;Química Farmacéutica Bayer;0;15;28713;1550;8410;19733;2283;4372;2807;27;1098;0,097760596;6,56747484;1,455075255;26,15027322;0,221557797;0,079511023;0,271462545;1,472903226;1
159;OMSA;1;1;28370;3131;7197;11508;878;4530;1321;12;1278;0,046563271;6,262693157;2,465241571;22,19874804;0,393639208;0,030948185;0,121995276;0,280421591;1
160;Finazauto;1;4;27553;5287;8527;32272;-5382;13463;-4813;-63;1897;-0,174681523;2,046572086;0,85377417;14,52451239;0,417172781;-0,195332632;-0,631171573;-1,017968602;0
161;Corviam;0;5;27408;;1656;14558;;1191;257;0;609;0,009376824;23,01259446;1,882676192;45,00492611;0,081810688;;;;1
162;Fujitsu España;0;8;27341;3500;-850;22889;-4325;3459;-3514;509;1387;-0,128524926;7,904307603;1,19450391;19,71232877;0,151120626;-0,158187338;5,088235294;-1,235714286;0
163;Du Pont Iberica;0;4;26952;11475;11139;47722;-468;37393;-94;-4;350;-0,003487682;0,720776616;0,564770965;77,00571429;0,783558946;-0,017364203;-0,042014543;-0,040784314;0
164;ENCE;1;13;26835;18000;20395;59135;-5482;42327;-1647;-27;959;-0,06137507;0,633992487;0,45379217;27,9822732;0,715769003;-0,204285448;-0,26879137;-0,304555556;0
165;Auto Mare Nostrum;1;16;26709;66725;80773;198537;6672;194748;6996;8;630;0,261934179;0,137146466;0,13452908;42,3952381;0,980915396;0,249803437;0,08260186;0,099992507;1
166;Comercial Citroën;0;4;26270;486;839;5835;113;1091;307;13;494;0,011686334;24,07882676;4,502142245;53,17813765;0,18697515;0,004301485;0,134684148;0,232510288;1
167;Cobra;1;10;26121;3059;11387;27110;790;6496;1483;7;1884;0,056774243;4,021089901;0,963518997;13,86464968;0,239616378;0,030243865;0,06937736;0,258254331;1
168;Midesa;0;4;26084;900;3268;11586;240;2380;381;7;190;0,014606655;10,95966387;2,251337822;137,2842105;0,205420335;0,009201043;0,073439412;0,266666667;1
169;Frigo;0;1;25659;3468;5457;16752;1081;9464;2546;20;902;0,099224444;2,711221471;1,531697708;28,44678492;0,564947469;0,042129467;0,198094191;0,311707036;1
170;3M España;0;15;25643;1600;12562;22485;464;10262;1197;4;875;0,046679406;2,498830637;1,140449188;29,30628571;0,456393151;0,018094607;0,036936794;0,29;1
171;Lácteos Tetra Pack;0;13;25246;400;939;6140;257;1622;600;27;14;0,023766141;15,5647349;4,111726384;1803,285714;0,264169381;0,01017983;0,273695421;0,6425;1
172;NCR España;0;4;25171;1500;5534;19049;2155;8378;2580;39;1190;0,102498907;3,004416328;1,3213817;21,15210084;0,439813114;0,085614398;0,389410914;1,436666667;1
173;Air España;0;17;25126;1400;2040;4639;109;762;285;5;641;0,011342832;32,97375328;5,416253503;39,19812793;0,164259539;0,004338136;0,053431373;0,077857143;1
174;Canon España;0;4;25027;53;12351;20193;899;3871;1310;7;473;0,052343469;6,465254456;1,239389888;52,91120507;0,191700094;0,035921205;0,072787629;16,96226415;1
175;Copaga;0;1;24770;290;3205;8193;4;1961;303;0;53;0,012232539;12,63131056;3,023312584;467,3584906;0,239350665;0,000161486;0,00124805;0,013793103;1
176;Antena 3 Televisión;0;18;24572;25000;22697;54355;-861;16598;740;-4;981;0,030115579;1,480419328;0,452065127;25,0479103;0,305362892;-0,035039883;-0,037934529;-0,03444;1
177;Laminados Velasco;0;4;24313;1562;4804;13499;-112;3720;79;-2;207;0,003249291;6,535752688;1,801096378;117,4541063;0,275575969;-0,004606589;-0,023313905;-0,071702945;1
178;Gallina Blanca Purina;0;1;24198;469;1953;6785;609;3093;933;31;658;0,038556906;7,823472357;3,566396463;36,77507599;0,455858511;0,025167369;0,311827957;1,298507463;1
179;Pirelli Neumaticos;0;2;24175;7500;10122;21835;-1148;10522;1;-11;1620;4,1365E-05;2,297567002;1,107167392;14,92283951;0,481886879;-0,047487073;-0,113416321;-0,153066667;1
180;Philip Morris;0;18;24135;450;8445;12780;4834;6783;5549;57;777;0,229915061;3,558160106;1,888497653;31,06177606;0,530751174;0,200290035;0,57240971;10,74222222;1
181;Bendiz España;1;2;24040;2554;8502;14161;64;5628;878;1;1259;0,036522463;4,271499645;1,697620225;19,09451946;0,39742956;0,00266223;0,007527641;0,025058731;1
182;Editorial Planeta;0;18;23976;400;26004;49654;4305;20107;5056;17;429;0,210877544;1,19242055;0,482861401;55,88811189;0,4049422;0,179554555;0,165551454;10,7625;1
183;Kodak;0;4;23837;2578;6427;15557;-1921;5003;-1046;-30;660;-0,043881361;4,764541275;1,532236292;36,11666667;0,321591566;-0,080589;-0,298895286;-0,74515128;0
184;Aldesa;0;4;23752;1875;9049;12881;2491;5722;2851;28;816;0,120031997;4,150996155;1,843956215;29,10784314;0,444220169;0,104875379;0,275279036;1,328533333;1
